Note,Velocity,time,acc_time
57,49,0,0.0
45,49,0,0.0
52,49,0,0.0
57,0,1.1375,1.1375
45,0,0,1.1375
52,0,0,1.1375
57,49,0.0625,1.2
48,49,0,1.2
53,49,0,1.2
57,0,0.8525,2.0525
57,49,0.0475,2.1
48,0,0.23750000000000002,2.3375
53,0,0,2.3375
57,0,0.045,2.3825
57,49,0.0175,2.4
45,49,0,2.4
52,49,0,2.4
45,0,1.1375,3.5374999999999996
52,0,0,3.5374999999999996
48,49,0.0625,3.5999999999999996
53,49,0,3.5999999999999996
57,0,1.0775000000000001,4.6775
48,0,0.06,4.7375
53,0,0,4.7375
57,49,0.0625,4.8
45,49,0,4.8
52,49,0,4.8
57,0,1.1375,5.9375
45,0,0,5.9375
52,0,0,5.9375
57,49,0.0625,6.0
48,49,0,6.0
53,49,0,6.0
57,0,0.8525,6.8525
57,49,0.0475,6.9
48,0,0.23750000000000002,7.1375
53,0,0,7.1375
57,0,0.045,7.1825
57,49,0.0175,7.2
45,49,0,7.2
52,49,0,7.2
45,0,1.1375,8.3375
52,0,0,8.3375
48,49,0.0625,8.4
53,49,0,8.4
57,0,1.0775000000000001,9.477500000000001
48,0,0.06,9.537500000000001
53,0,0,9.537500000000001
57,49,0.0625,9.600000000000001
45,49,0,9.600000000000001
52,49,0,9.600000000000001
57,0,1.1375,10.7375
45,0,0,10.7375
52,0,0,10.7375
57,49,0.0625,10.8
48,49,0,10.8
53,49,0,10.8
57,0,0.8525,11.6525
57,49,0.0475,11.7
48,0,0.23750000000000002,11.9375
53,0,0,11.9375
57,0,0.045,11.9825
57,49,0.0175,12.0
45,49,0,12.0
52,49,0,12.0
57,0,1.1375,13.1375
45,0,0,13.1375
52,0,0,13.1375
60,49,0.0625,13.2
48,49,0,13.2
53,49,0,13.2
60,0,0.8525,14.052499999999998
59,49,0.0475,14.099999999999998
48,0,0.23750000000000002,14.337499999999999
53,0,0,14.337499999999999
59,0,0.045,14.382499999999999
59,49,0.0175,14.399999999999999
45,49,0,14.399999999999999
52,49,0,14.399999999999999
59,0,0.8525,15.252499999999998
57,49,0.0475,15.299999999999997
45,0,0.23750000000000002,15.537499999999998
52,0,0,15.537499999999998
57,0,0.045,15.582499999999998
57,49,0.0175,15.599999999999998
48,49,0,15.599999999999998
53,49,0,15.599999999999998
57,0,0.8525,16.452499999999997
57,49,0.0475,16.499999999999996
48,0,0.23750000000000002,16.737499999999997
53,0,0,16.737499999999997
57,0,0.045,16.7825
57,49,0.0175,16.799999999999997
45,49,0,16.799999999999997
52,49,0,16.799999999999997
45,0,1.1375,17.937499999999996
52,0,0,17.937499999999996
48,49,0.0625,17.999999999999996
53,49,0,17.999999999999996
57,0,1.0775000000000001,19.077499999999997
48,0,0.06,19.137499999999996
53,0,0,19.137499999999996
57,64,0.0625,19.199999999999996
60,64,0,19.199999999999996
45,64,0,19.199999999999996
52,64,0,19.199999999999996
57,0,1.1375,20.337499999999995
60,0,0,20.337499999999995
45,0,0,20.337499999999995
52,0,0,20.337499999999995
57,64,0.0625,20.399999999999995
60,64,0,20.399999999999995
48,64,0,20.399999999999995
53,64,0,20.399999999999995
57,0,0.8525,21.252499999999994
60,0,0,21.252499999999994
57,64,0.0475,21.299999999999994
60,64,0,21.299999999999994
48,0,0.23750000000000002,21.537499999999994
53,0,0,21.537499999999994
57,0,0.045,21.582499999999996
60,0,0,21.582499999999996
57,64,0.0175,21.599999999999994
60,64,0,21.599999999999994
45,64,0,21.599999999999994
52,64,0,21.599999999999994
57,0,1.1375,22.737499999999994
60,0,0,22.737499999999994
45,0,0,22.737499999999994
52,0,0,22.737499999999994
60,64,0.0625,22.799999999999994
64,64,0,22.799999999999994
48,64,0,22.799999999999994
53,64,0,22.799999999999994
60,0,0.8525,23.652499999999993
64,0,0,23.652499999999993
59,64,0.0475,23.699999999999992
62,64,0,23.699999999999992
48,0,0.23750000000000002,23.937499999999993
53,0,0,23.937499999999993
59,0,0.045,23.982499999999995
62,0,0,23.982499999999995
59,64,0.0175,23.999999999999993
62,64,0,23.999999999999993
45,64,0,23.999999999999993
52,64,0,23.999999999999993
59,0,0.8525,24.852499999999992
62,0,0,24.852499999999992
57,64,0.0475,24.89999999999999
60,64,0,24.89999999999999
45,0,0.23750000000000002,25.137499999999992
52,0,0,25.137499999999992
57,0,0.045,25.182499999999994
60,0,0,25.182499999999994
57,64,0.0175,25.199999999999992
